"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file","LMS service","Fri May 09 11:40:17 GMT 2025","passed","Fri May 09 11:40:17 GMT 2025","Get entity","Files","",""
"","19","Get exercise","LMS service","Fri May 09 11:40:14 GMT 2025","passed","Fri May 09 11:40:14 GMT 2025","Get entity","Exercises","",""
"","262","Create file with empty filename","LMS service","Fri May 09 11:40:17 GMT 2025","passed","Fri May 09 11:40:18 GMT 2025","Validate entity","Files","",""
"","527","Create user","LMS service","Fri May 09 11:40:19 GMT 2025","passed","Fri May 09 11:40:19 GMT 2025","Create entity","Users","",""
"","20","Delete exercise","LMS service","Fri May 09 11:40:16 GMT 2025","passed","Fri May 09 11:40:16 GMT 2025","Delete entity","Exercises","",""
"","558","Create user","LMS service","Fri May 09 11:40:19 GMT 2025","passed","Fri May 09 11:40:20 GMT 2025","Create entity","Users","",""
"","292","Update exercise","LMS service","Fri May 09 11:40:15 GMT 2025","passed","Fri May 09 11:40:16 GMT 2025","Update entity","Exercises","",""
"","299","Create exercise","LMS service","Fri May 09 11:40:14 GMT 2025","passed","Fri May 09 11:40:15 GMT 2025","Create entity","Exercises","",""
"","266","Create file","LMS service","Fri May 09 11:40:16 GMT 2025","passed","Fri May 09 11:40:17 GMT 2025","Create entity","Files","",""
"","38","Create course","LMS service","Fri May 09 11:40:12 GMT 2025","passed","Fri May 09 11:40:12 GMT 2025","Create entity","Courses","",""
"","268","Get file with incorrect file id","LMS service","Fri May 09 11:40:19 GMT 2025","passed","Fri May 09 11:40:19 GMT 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Fri May 09 11:40:12 GMT 2025","passed","Fri May 09 11:40:12 GMT 2025","Get entities","Courses","",""
"","13","Get user me","LMS service","Fri May 09 11:40:21 GMT 2025","passed","Fri May 09 11:40:21 GMT 2025","Get entity","Users","",""
"","21","Get exercises","LMS service","Fri May 09 11:40:13 GMT 2025","passed","Fri May 09 11:40:13 GMT 2025","Get entities","Exercises","",""
"","301","Update course","LMS service","Fri May 09 11:40:13 GMT 2025","passed","Fri May 09 11:40:13 GMT 2025","Update entity","Courses","",""
"","23","Delete file","LMS service","Fri May 09 11:40:19 GMT 2025","passed","Fri May 09 11:40:19 GMT 2025","Delete entity","Files","",""
"","270","Create file with empty directory","LMS service","Fri May 09 11:40:18 GMT 2025","passed","Fri May 09 11:40:18 GMT 2025","Validate entity","Files","",""
"","556","Login with correct email and password","LMS service","Fri May 09 11:40:11 GMT 2025","passed","Fri May 09 11:40:11 GMT 2025","Login","Authentication","",""
"","290","Create user","LMS service","Fri May 09 11:40:19 GMT 2025","passed","Fri May 09 11:40:20 GMT 2025","Create entity","Users","",""
