"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Fri May 09 12:56:10 GMT 2025","passed","Fri May 09 12:56:10 GMT 2025","Get entity","Files","",""
"","21","Delete exercise","LMS service","Fri May 09 12:56:09 GMT 2025","passed","Fri May 09 12:56:09 GMT 2025","Delete entity","Exercises","",""
"","290","Create exercise","LMS service","Fri May 09 12:56:07 GMT 2025","passed","Fri May 09 12:56:07 GMT 2025","Create entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Fri May 09 12:56:10 GMT 2025","passed","Fri May 09 12:56:10 GMT 2025","Validate entity","Files","",""
"","25","Delete file","LMS service","Fri May 09 12:56:12 GMT 2025","passed","Fri May 09 12:56:12 GMT 2025","Delete entity","Files","",""
"","287","Login with correct email and password","LMS service","Fri May 09 12:56:04 GMT 2025","passed","Fri May 09 12:56:04 GMT 2025","Login","Authentication","",""
"","289","Create user","LMS service","Fri May 09 12:56:12 GMT 2025","passed","Fri May 09 12:56:12 GMT 2025","Create entity","Users","",""
"","524","Create user","LMS service","Fri May 09 12:56:12 GMT 2025","passed","Fri May 09 12:56:12 GMT 2025","Create entity","Users","",""
"","300","Update course","LMS service","Fri May 09 12:56:06 GMT 2025","passed","Fri May 09 12:56:06 GMT 2025","Update entity","Courses","",""
"","291","Get exercise","LMS service","Fri May 09 12:56:07 GMT 2025","passed","Fri May 09 12:56:07 GMT 2025","Get entity","Exercises","",""
"","267","Create file with empty directory","LMS service","Fri May 09 12:56:11 GMT 2025","passed","Fri May 09 12:56:11 GMT 2025","Validate entity","Files","",""
"","16","Get user me","LMS service","Fri May 09 12:56:13 GMT 2025","passed","Fri May 09 12:56:13 GMT 2025","Get entity","Users","",""
"","35","Get courses","LMS service","Fri May 09 12:56:05 GMT 2025","passed","Fri May 09 12:56:05 GMT 2025","Get entities","Courses","",""
"","265","Create file","LMS service","Fri May 09 12:56:09 GMT 2025","passed","Fri May 09 12:56:09 GMT 2025","Create entity","Files","",""
"","553","Create user","LMS service","Fri May 09 12:56:12 GMT 2025","passed","Fri May 09 12:56:13 GMT 2025","Create entity","Users","",""
"","21","Get exercises","LMS service","Fri May 09 12:56:06 GMT 2025","passed","Fri May 09 12:56:06 GMT 2025","Get entities","Exercises","",""
"","290","Update exercise","LMS service","Fri May 09 12:56:08 GMT 2025","passed","Fri May 09 12:56:08 GMT 2025","Update entity","Exercises","",""
"","36","Create course","LMS service","Fri May 09 12:56:04 GMT 2025","passed","Fri May 09 12:56:04 GMT 2025","Create entity","Courses","",""
"","271","Get file with incorrect file id","LMS service","Fri May 09 12:56:12 GMT 2025","passed","Fri May 09 12:56:12 GMT 2025","Validate entity","Files","",""
